From,To,Line,Distance,Tight Run
Sligo,Collooney,Single,10460,487
Collooney,Ballymote,Single,12071,515
Ballymote,Boyle,Single,22128,832
Boyle,Carrick loop,Single,13679,632
Carrick loop,Carrick on Shannon,Single,402.665,40
Carrick on Shannon,Dromod,Single,17075.335,617
Dromod,Longford,Single,17703,672
Longford,Edgeworthstown,Single,13502,622
Edgeworthstown,Mullingar,Single,28340,1045
Mullingar,Killucan,Single,14710,548
Killucan,Enfield,Single,23737,854
Enfield,Kilcock,Single,11266,542
Kilcock,Maynooth,Single,6840,321
Maynooth,Leixlip Louisa Bridge,Double,6035,Na
Leixlip Louisa Bridge,Broombridge,Double,17702,Na
Broombridge,Drumcondra,Double,2826,Na
Drumcondra,Connolly,Double,1600,Na
